primaryTitle,genres,directors,writers,averageRating,numVotes
When Harry Met Sejal,"Comedy,Drama,Romance",nm1665004,nm1665004,5.3,18721
"Roman J. Israel, Esq.","Crime,Drama,Thriller",nm0319659,nm0319659,6.5,33109
The Edge of Democracy,"Documentary,History",nm3525467,"nm3525467,nm9237202,nm0054862,nm6682793,nm1590700,nm8685858",7.2,13239
Kin,"Action,Drama,Sci-Fi","nm5192757,nm5239466","nm5192757,nm5239466,nm0143403",5.8,14330
Last Flag Flying,"Comedy,Drama,War",nm0000500,"nm0000500,nm0690431",6.9,22676
The Children Act,Drama,nm0264236,nm0568605,6.7,11189
Skin,"Biography,Crime,Drama",nm1142235,nm1142235,7.0,12654
Greyhound,"Action,Drama,History",nm0773689,"nm0000158,nm0286163",7.0,66610
Naked,"Comedy,Fantasy,Romance",nm1639277,"nm0023315,nm0461830,nm0461835,nm1326627,nm0005541",5.4,17298
First Reformed,"Drama,Mystery,Thriller",nm0001707,nm0001707,7.1,47713
Toc Toc,Comedy,nm1695278,"nm0046494,nm1695278",6.8,13955
Monos,"Adventure,Drama,Thriller",nm1622258,"nm1622258,nm2063526",6.9,14112
Light of My Life,"Drama,Sci-Fi,Thriller",nm0000729,nm0000729,6.6,10587
I See You,"Crime,Drama,Horror",nm1726691,nm1984458,6.8,29585
The Angry Birds Movie 2,"Adventure,Animation,Comedy","nm3006131,nm0723470","nm0010004,nm0687937,nm1139293",6.4,21285
Radius,"Mystery,Sci-Fi,Thriller","nm3537098,nm3537925","nm3537925,nm3537098",6.3,13490
Perfect Strangers,Comedy,nm0407067,"nm0407067,nm0346277,nm3798121,nm0182499,nm0002645,nm2601560,nm0712330",6.9,12281
The Lion King,"Adventure,Animation,Drama",nm0269463,"nm0622288,nm0575293,nm0731271,nm0941314",6.9,211700
Late Night,"Comedy,Drama",nm0304091,nm1411676,6.5,28413
Secret Superstar,"Drama,Music",nm2378914,nm2378914,7.8,20738
Disobedience,"Drama,Romance",nm0133326,"nm0133326,nm0501947,nm4373281",6.6,25287
The Night Comes for Us,"Action,Thriller",nm3464186,nm3464186,7.0,21109
Paradise Hills,"Fantasy,Sci-Fi,Thriller",nm6563565,"nm3399103,nm5879674,nm1443023,nm6563565",5.5,11505
Professor Marston & the Wonder Women,"Biography,Drama,History",nm1286340,nm1286340,7.1,23240
The First Purge,"Action,Horror,Sci-Fi",nm2618764,nm0218621,5.2,55102
BPM (Beats Per Minute),Drama,nm0133028,"nm0133028,nm0542181",7.4,13412
Aladdin,"Adventure,Family,Fantasy",nm0005363,"nm0041864,nm0005363",6.9,227163
The Aeronauts,"Action,Adventure,Drama",nm2197777,"nm7914228,nm2197777,nm2113666",6.6,27120
John Wick: Chapter 3 - Parabellum,"Action,Crime,Thriller",nm0821432,"nm4401003,nm8748334,nm2384772,nm0009207",7.4,274731
Vikram Vedha,"Action,Crime,Drama","nm2566836,nm2575525","nm8904193,nm2566836,nm2575525",8.4,28247
